,Date,Day,Month,Year,Product ID,Order created,Vendor ID,Customer ID,rental_start,rental_end
0,2004-10-30,30,10,2004,,,,,,
1,2004-10-31,31,10,2004,,,,,,
2,2004-01-11,1,11,2004,,,,,,
3,2004-02-11,2,11,2004,,,,,,
4,2004-03-11,3,11,2004,,,,,,
5,2004-04-11,4,11,2004,,,,,,
6,2004-05-11,5,11,2004,,,,,,
7,2004-06-11,6,11,2004,,,,,,
8,2004-07-11,7,11,2004,,,,,,
9,2004-08-11,8,11,2004,,,,,,
10,2004-09-11,9,11,2004,,,,,,
11,2004-10-11,10,11,2004,,,,,,
12,2004-11-11,11,11,2004,,,,,,
13,2004-12-11,12,11,2004,,,,,,
14,2004-11-13,13,11,2004,,,,,,
15,2004-11-14,14,11,2004,,,,,,
16,2004-11-15,15,11,2004,,,,,,
17,2004-11-16,16,11,2004,,,,,,
18,2004-11-17,17,11,2004,,,,,,
19,2004-11-18,18,11,2004,,,,,,
20,2004-11-19,19,11,2004,,,,,,
21,2004-11-20,20,11,2004,,,,,,
22,2004-11-21,21,11,2004,,,,,,
23,2004-11-22,22,11,2004,,,,,,
24,2004-11-23,23,11,2004,,,,,,
25,2004-11-24,24,11,2004,,,,,,
26,2004-11-25,25,11,2004,,,,,,
27,2004-11-26,26,11,2004,,,,,,
28,2004-11-27,27,11,2004,,,,,,
29,2004-11-28,28,11,2004,,,,,,
30,2004-11-29,29,11,2004,,,,,,
31,2004-11-30,30,11,2004,,,,,,
32,2004-01-12,1,12,2004,,,,,,
33,2004-02-12,2,12,2004,,,,,,
34,2004-03-12,3,12,2004,,,,,,
35,2004-04-12,4,12,2004,,,,,,
36,2004-05-12,5,12,2004,,,,,,
37,2004-06-12,6,12,2004,,,,,,
38,2004-07-12,7,12,2004,,,,,,
39,2004-08-12,8,12,2004,,,,,,
40,2004-09-12,9,12,2004,,,,,,
41,2004-10-12,10,12,2004,,,,,,
42,2004-11-12,11,12,2004,,,,,,
43,2004-12-12,12,12,2004,,,,,,
44,2004-12-13,13,12,2004,,,,,,
45,2004-12-14,14,12,2004,,,,,,
46,2004-12-15,15,12,2004,,,,,,
47,2004-12-16,16,12,2004,,,,,,
48,2004-12-17,17,12,2004,,,,,,
49,2004-12-18,18,12,2004,,,,,,
50,2004-12-19,19,12,2004,,,,,,
51,2004-12-20,20,12,2004,,,,,,
52,2004-12-21,21,12,2004,,,,,,
53,2004-12-22,22,12,2004,,,,,,
54,2004-12-23,23,12,2004,,,,,,
55,2004-12-24,24,12,2004,,,,,,
56,2004-12-25,25,12,2004,,,,,,
57,2004-12-26,26,12,2004,,,,,,
58,2004-12-27,27,12,2004,,,,,,
59,2004-12-28,28,12,2004,,,,,,
60,2004-12-29,29,12,2004,,,,,,
61,2004-12-30,30,12,2004,,,,,,
62,2004-12-31,31,12,2004,,,,,,
63,2005-01-01,1,1,2005,,,,,,
64,2005-02-01,2,1,2005,,,,,,
65,2005-03-01,3,1,2005,,,,,,
66,2005-04-01,4,1,2005,,,,,,
67,2005-05-01,5,1,2005,,,,,,
68,2005-06-01,6,1,2005,,,,,,
69,2005-07-01,7,1,2005,,,,,,
70,2005-08-01,8,1,2005,,,,,,
